2025-07,Bukarest,Ras Abu Fontas,W,A2000035,Erlangen,Hamburg,Deutschland,Republik Korea (Südkorea),1000,S-1000-0007-A-11-3510-4883483Q-N,E7701243/969000/1000,1001018121
2025-07,Bukarest,Ras Abu Fontas,W,A2000035,Erlangen,Hamburg,Deutschland,Republik Korea (Südkorea),1000,S-1000-0010-A-11-3510-4883483Q-N,E7701243/969000/1000,1001018124
2025-07,Bukarest,Ras Abu Fontas,W,A2000035,Erlangen,Hamburg,Deutschland,Republik Korea (Südkorea),1000,S-1000-0001-A-11-3510-4883483Q-N,E7701243/969000/1000,1001015937
2025-07,Bukarest,Ras Abu Fontas,W,A2000035,Erlangen,Hamburg,Deutschland,Republik Korea (Südkorea),1000,S-1000-0002-A-11-3510-4883483Q-N,E7701243/969000/1000,1001016140
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8007,S-8007-0001-A-13-3510-4883483Q-N,E7700918/798000/8007,1001015003
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8007,S-8007-0002-A-13-3510-4883483Q-N,E7700918/798000/8007,1001015281
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8007,S-8007-0003-A-13-3510-4883483Q-N,E7700918/798000/8007,1001015918
2025-07,Bukarest,Ras Abu Fontas,W,A2000035,Erlangen,Hamburg,Deutschland,Republik Korea (Südkorea),1000,S-1000-0004-A-11-3510-4883483Q-N,E7701243/969000/1000,1001018120
2025-07,Bukarest,Ras Abu Fontas,W,A2000035,Erlangen,Hamburg,Deutschland,Republik Korea (Südkorea),1003,S-1003-0022-A-11-3510-4883483Q-N,E7701243/969000/1003,1001016000
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8007,S-8007-0010-A-13-3510-4883483Q-N,E7700918/798000/8007,1001016150
2025-08,Berlin,G-USA-Missouri,G,A2000035,Berlin,Hamburg,Deutschland,Vereinigte Staaten,2,S-0002-0006-C-10-3510-AH007735-N,AH007735/3000024203/0002,1001014994
2025-09,Bukarest,QASSIM,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,7004,S-7004-0001-A-12-3510-4883483Q-N,E7700917/797700/7004,1001019320
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8004,S-8004-0019-A-11-3510-4883483Q-N,E7700918/798000/8004,1001016233
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8007,S-8007-0007-A-13-3510-4883483Q-N,E7700918/798000/8007,1001016568
